{'episode': 0, 'reward': 56.10000000000004, 'avg_reward': np.float64(56.10000000000004), 'epsilon': np.float64(0.9950623544007555), 'max_position': 26, 'steps': 501}
{'episode': 14, 'reward': 212.3999999999998, 'avg_reward': np.float64(77.0600000000001), 'epsilon': np.float64(0.9283374752186094), 'max_position': 70, 'steps': 501}
{'episode': 15, 'reward': 117.10000000000022, 'avg_reward': np.float64(79.56250000000011), 'epsilon': np.float64(0.9237481104260252), 'max_position': 70, 'steps': 501}
{'episode': 16, 'reward': 73.2999999999999, 'avg_reward': np.float64(79.19411764705893), 'epsilon': np.float64(0.9191816808503606), 'max_position': 50, 'steps': 501}
{'episode': 17, 'reward': 80.70000000000027, 'avg_reward': np.float64(79.27777777777789), 'epsilon': np.float64(0.9146380718735365), 'max_position': 56, 'steps': 501}
{'episode': 18, 'reward': 167.10000000000016, 'avg_reward': np.float64(83.90000000000012), 'epsilon': np.float64(0.910117169450275), 'max_position': 70, 'steps': 501}
{'episode': 19, 'reward': 65.1000000000001, 'avg_reward': np.float64(82.96000000000012), 'epsilon': np.float64(0.9056188601052356), 'max_position': 57, 'steps': 501}
{'episode': 20, 'reward': 132.0000000000003, 'avg_reward': np.float64(85.29523809523822), 'epsilon': np.float64(0.9011430309301681), 'max_position': 78, 'steps': 501}
{'episode': 21, 'reward': 79.00000000000017, 'avg_reward': np.float64(85.00909090909103), 'epsilon': np.float64(0.8966895695810772), 'max_position': 56, 'steps': 501}
{'episode': 22, 'reward': 96.70000000000009, 'avg_reward': np.float64(85.51739130434795), 'epsilon': np.float64(0.8922583642754043), 'max_position': 61, 'steps': 501}
{'episode': 23, 'reward': 197.49999999999997, 'avg_reward': np.float64(90.18333333333345), 'epsilon': np.float64(0.8878493037892201), 'max_position': 70, 'steps': 501}
{'episode': 24, 'reward': 184.80000000000007, 'avg_reward': np.float64(93.96800000000012), 'epsilon': np.float64(0.8834622774544342), 'max_position': 70, 'steps': 501}
{'episode': 25, 'reward': 123.30000000000035, 'avg_reward': np.float64(95.09615384615397), 'epsilon': np.float64(0.8790971751560166), 'max_position': 62, 'steps': 501}
{'episode': 26, 'reward': 124.90000000000013, 'avg_reward': np.float64(96.20000000000012), 'epsilon': np.float64(0.8747538873292338), 'max_position': 70, 'steps': 501}
{'episode': 27, 'reward': 151.40000000000003, 'avg_reward': np.float64(98.17142857142869), 'epsilon': np.float64(0.870432304956899), 'max_position': 70, 'steps': 501}
{'episode': 28, 'reward': 103.7000000000004, 'avg_reward': np.float64(98.36206896551737), 'epsilon': np.float64(0.8661323195666358), 'max_position': 75, 'steps': 501}
{'episode': 29, 'reward': 177.19999999999987, 'avg_reward': np.float64(100.99000000000011), 'epsilon': np.float64(0.8618538232281548), 'max_position': 70, 'steps': 501}
{'episode': 30, 'reward': 161.30000000000013, 'avg_reward': np.float64(102.93548387096786), 'epsilon': np.float64(0.8575967085505458), 'max_position': 70, 'steps': 501}
{'episode': 31, 'reward': 174.30000000000013, 'avg_reward': np.float64(105.16562500000012), 'epsilon': np.float64(0.853360868679581), 'max_position': 70, 'steps': 501}
{'episode': 32, 'reward': 161.2, 'avg_reward': np.float64(106.86363636363647), 'epsilon': np.float64(0.8491461972950337), 'max_position': 72, 'steps': 501}
{'episode': 33, 'reward': 174.7000000000002, 'avg_reward': np.float64(108.85882352941188), 'epsilon': np.float64(0.8449525886080094), 'max_position': 88, 'steps': 501}
{'episode': 34, 'reward': 201.39999999999986, 'avg_reward': np.float64(111.50285714285725), 'epsilon': np.float64(0.8407799373582905), 'max_position': 71, 'steps': 501}
{'episode': 35, 'reward': 158.60000000000002, 'avg_reward': np.float64(112.81111111111122), 'epsilon': np.float64(0.8366281388116943), 'max_position': 72, 'steps': 501}
{'episode': 36, 'reward': 163.00000000000006, 'avg_reward': np.float64(114.16756756756769), 'epsilon': np.float64(0.8324970887574441), 'max_position': 70, 'steps': 501}
{'episode': 37, 'reward': 198.79999999999987, 'avg_reward': np.float64(116.39473684210539), 'epsilon': np.float64(0.8283866835055536), 'max_position': 70, 'steps': 501}
{'episode': 38, 'reward': 194.70000000000002, 'avg_reward': np.float64(118.40256410256421), 'epsilon': np.float64(0.8242968198842241), 'max_position': 140, 'steps': 501}
{'episode': 39, 'reward': 159.89999999999998, 'avg_reward': np.float64(119.4400000000001), 'epsilon': np.float64(0.820227395237255), 'max_position': 72, 'steps': 501}
{'episode': 40, 'reward': 74.70000000000026, 'avg_reward': np.float64(118.34878048780497), 'epsilon': np.float64(0.8161783074214671), 'max_position': 80, 'steps': 501}
{'episode': 41, 'reward': 174.90000000000003, 'avg_reward': np.float64(119.69523809523818), 'epsilon': np.float64(0.8121494548041387), 'max_position': 70, 'steps': 501}
{'episode': 42, 'reward': 192.79999999999995, 'avg_reward': np.float64(121.39534883720938), 'epsilon': np.float64(0.8081407362604548), 'max_position': 70, 'steps': 501}
{'episode': 43, 'reward': 224.3000000000001, 'avg_reward': np.float64(123.734090909091), 'epsilon': np.float64(0.8041520511709684), 'max_position': 88, 'steps': 501}
{'episode': 44, 'reward': 188.80000000000015, 'avg_reward': np.float64(125.18000000000009), 'epsilon': np.float64(0.8001832994190758), 'max_position': 88, 'steps': 501}
{'episode': 45, 'reward': 222.79999999999973, 'avg_reward': np.float64(127.30217391304355), 'epsilon': np.float64(0.7962343813885024), 'max_position': 71, 'steps': 501}
{'episode': 46, 'reward': 208.50000000000026, 'avg_reward': np.float64(129.02978723404263), 'epsilon': np.float64(0.7923051979608038), 'max_position': 154, 'steps': 501}
{'episode': 47, 'reward': 222.90000000000018, 'avg_reward': np.float64(130.98541666666677), 'epsilon': np.float64(0.7883956505128764), 'max_position': 88, 'steps': 501}
{'episode': 48, 'reward': 232.3999999999999, 'avg_reward': np.float64(133.05510204081642), 'epsilon': np.float64(0.7845056409144834), 'max_position': 88, 'steps': 501}
{'episode': 49, 'reward': 204.99999999999983, 'avg_reward': np.float64(134.49400000000009), 'epsilon': np.float64(0.7806350715257903), 'max_position': 70, 'steps': 501}
{'episode': 50, 'reward': 209.3000000000001, 'avg_reward': np.float64(135.96078431372558), 'epsilon': np.float64(0.7767838451949154), 'max_position': 88, 'steps': 501}
{'episode': 51, 'reward': 185.50000000000028, 'avg_reward': np.float64(136.91346153846163), 'epsilon': np.float64(0.7729518652554903), 'max_position': 149, 'steps': 501}
{'episode': 52, 'reward': 222.4999999999997, 'avg_reward': np.float64(138.52830188679255), 'epsilon': np.float64(0.7691390355242345), 'max_position': 70, 'steps': 501}
{'episode': 53, 'reward': 228.19999999999965, 'avg_reward': np.float64(140.18888888888898), 'epsilon': np.float64(0.7653452602985399), 'max_position': 70, 'steps': 501}
{'episode': 54, 'reward': 201.5000000000002, 'avg_reward': np.float64(141.30363636363646), 'epsilon': np.float64(0.7615704443540698), 'max_position': 88, 'steps': 501}
{'episode': 55, 'reward': 216.69999999999982, 'avg_reward': np.float64(142.65000000000006), 'epsilon': np.float64(0.7578144929423687), 'max_position': 71, 'steps': 501}
{'episode': 56, 'reward': 231.79999999999967, 'avg_reward': np.float64(144.21403508771937), 'epsilon': np.float64(0.754077311788483), 'max_position': 70, 'steps': 501}
{'episode': 57, 'reward': 204.09999999999977, 'avg_reward': np.float64(145.24655172413802), 'epsilon': np.float64(0.750358807088596), 'max_position': 70, 'steps': 501}
{'episode': 58, 'reward': 239.39999999999958, 'avg_reward': np.float64(146.842372881356), 'epsilon': np.float64(0.7466588855076726), 'max_position': 70, 'steps': 501}
{'episode': 59, 'reward': 227.8999999999997, 'avg_reward': np.float64(148.1933333333334), 'epsilon': np.float64(0.7429774541771169), 'max_position': 70, 'steps': 501}
{'episode': 60, 'reward': 204.29999999999978, 'avg_reward': np.float64(149.1131147540984), 'epsilon': np.float64(0.739314420692441), 'max_position': 70, 'steps': 501}
{'episode': 61, 'reward': 228.69999999999953, 'avg_reward': np.float64(150.39677419354842), 'epsilon': np.float64(0.7356696931109459), 'max_position': 70, 'steps': 501}
{'episode': 62, 'reward': 227.89999999999958, 'avg_reward': np.float64(151.62698412698415), 'epsilon': np.float64(0.7320431799494135), 'max_position': 71, 'steps': 501}
{'episode': 63, 'reward': 214.40000000000015, 'avg_reward': np.float64(152.60781250000002), 'epsilon': np.float64(0.7284347901818102), 'max_position': 88, 'steps': 501}
{'episode': 64, 'reward': 177.49999999999991, 'avg_reward': np.float64(152.99076923076925), 'epsilon': np.float64(0.7248444332370029), 'max_position': 70, 'steps': 501}
{'episode': 65, 'reward': 227.09999999999968, 'avg_reward': np.float64(154.1136363636364), 'epsilon': np.float64(0.7212720189964843), 'max_position': 70, 'steps': 501}
{'episode': 66, 'reward': 239.89999999999958, 'avg_reward': np.float64(155.39402985074628), 'epsilon': np.float64(0.7177174577921127), 'max_position': 70, 'steps': 501}
{'episode': 67, 'reward': 234.39999999999998, 'avg_reward': np.float64(156.55588235294118), 'epsilon': np.float64(0.7141806604038593), 'max_position': 154, 'steps': 501}
{'episode': 68, 'reward': 249.49999999999994, 'avg_reward': np.float64(157.90289855072464), 'epsilon': np.float64(0.7106615380575706), 'max_position': 88, 'steps': 501}
{'episode': 69, 'reward': 242.09999999999985, 'avg_reward': np.float64(159.1057142857143), 'epsilon': np.float64(0.7071600024227388), 'max_position': 154, 'steps': 501}
{'episode': 70, 'reward': 208.2000000000002, 'avg_reward': np.float64(159.79718309859157), 'epsilon': np.float64(0.7036759656102858), 'max_position': 88, 'steps': 501}
{'episode': 71, 'reward': 231.79999999999995, 'avg_reward': np.float64(160.79722222222225), 'epsilon': np.float64(0.7002093401703561), 'max_position': 88, 'steps': 501}
{'episode': 72, 'reward': 231.1999999999997, 'avg_reward': np.float64(161.76164383561644), 'epsilon': np.float64(0.6967600390901224), 'max_position': 70, 'steps': 501}
{'episode': 73, 'reward': 233.59999999999994, 'avg_reward': np.float64(162.73243243243243), 'epsilon': np.float64(0.6933279757916017), 'max_position': 88, 'steps': 501}
{'episode': 74, 'reward': 216.5999999999997, 'avg_reward': np.float64(163.45066666666668), 'epsilon': np.float64(0.6899130641294817), 'max_position': 70, 'steps': 501}
{'episode': 75, 'reward': 239.59999999999965, 'avg_reward': np.float64(164.45263157894738), 'epsilon': np.float64(0.686515218388959), 'max_position': 70, 'steps': 501}
{'episode': 76, 'reward': 248.7999999999999, 'avg_reward': np.float64(165.54805194805195), 'epsilon': np.float64(0.6831343532835874), 'max_position': 88, 'steps': 501}
{'episode': 77, 'reward': 237.99999999999994, 'avg_reward': np.float64(166.4769230769231), 'epsilon': np.float64(0.679770383953137), 'max_position': 88, 'steps': 501}
{'episode': 78, 'reward': 37.800000000000146, 'avg_reward': np.float64(164.84810126582278), 'epsilon': np.float64(0.6764232259614646), 'max_position': 74, 'steps': 501}
{'episode': 79, 'reward': 161.4000000000001, 'avg_reward': np.float64(164.805), 'epsilon': np.float64(0.6730927952943944), 'max_position': 90, 'steps': 501}
{'episode': 80, 'reward': 235.99999999999997, 'avg_reward': np.float64(165.68395061728395), 'epsilon': np.float64(0.6697790083576085), 'max_position': 154, 'steps': 501}
{'episode': 81, 'reward': 227.8999999999997, 'avg_reward': np.float64(166.4426829268293), 'epsilon': np.float64(0.6664817819745495), 'max_position': 70, 'steps': 501}
{'episode': 82, 'reward': 240.40000000000012, 'avg_reward': np.float64(167.33373493975904), 'epsilon': np.float64(0.6632010333843326), 'max_position': 88, 'steps': 501}
{'episode': 83, 'reward': 226.09999999999962, 'avg_reward': np.float64(168.03333333333336), 'epsilon': np.float64(0.6599366802396673), 'max_position': 70, 'steps': 501}
{'episode': 84, 'reward': 226.39999999999955, 'avg_reward': np.float64(168.72), 'epsilon': np.float64(0.6566886406047925), 'max_position': 70, 'steps': 501}
{'episode': 85, 'reward': 219.3999999999997, 'avg_reward': np.float64(169.3093023255814), 'epsilon': np.float64(0.6534568329534176), 'max_position': 71, 'steps': 501}
{'episode': 86, 'reward': 222.09999999999968, 'avg_reward': np.float64(169.916091954023), 'epsilon': np.float64(0.6502411761666778), 'max_position': 70, 'steps': 501}
{'episode': 87, 'reward': 1210.5000000000002, 'avg_reward': np.float64(181.7409090909091), 'epsilon': np.float64(0.6472454754597562), 'max_position': 197, 'steps': 469}
{'episode': 88, 'reward': 240.89999999999972, 'avg_reward': np.float64(182.4056179775281), 'epsilon': np.float64(0.644060859751231), 'max_position': 70, 'steps': 501}
{'episode': 89, 'reward': 1189.4, 'avg_reward': np.float64(193.59444444444443), 'epsilon': np.float64(0.6414854765120148), 'max_position': 197, 'steps': 407}
{'episode': 90, 'reward': 240.59999999999968, 'avg_reward': np.float64(194.110989010989), 'epsilon': np.float64(0.6383296462305132), 'max_position': 70, 'steps': 501}
{'episode': 91, 'reward': 246.6, 'avg_reward': np.float64(194.6815217391304), 'epsilon': np.float64(0.6351895871189533), 'max_position': 88, 'steps': 501}
{'episode': 92, 'reward': 255.89999999999986, 'avg_reward': np.float64(195.33978494623653), 'epsilon': np.float64(0.6320652203613721), 'max_position': 155, 'steps': 501}
{'episode': 93, 'reward': 57.00000000000012, 'avg_reward': np.float64(193.86808510638295), 'epsilon': np.float64(0.6289564675356879), 'max_position': 91, 'steps': 501}
{'episode': 94, 'reward': 240.49999999999997, 'avg_reward': np.float64(194.35894736842104), 'epsilon': np.float64(0.6258632506117304), 'max_position': 88, 'steps': 501}
{'episode': 95, 'reward': 261.3999999999999, 'avg_reward': np.float64(195.05729166666666), 'epsilon': np.float64(0.6227854919492832), 'max_position': 154, 'steps': 501}
{'episode': 96, 'reward': 1175.4000000000003, 'avg_reward': np.float64(205.1639175257732), 'epsilon': np.float64(0.6208093879363089), 'max_position': 197, 'steps': 323}
{'episode': 97, 'reward': 237.29999999999964, 'avg_reward': np.float64(205.4918367346939), 'epsilon': np.float64(0.6177568858054256), 'max_position': 70, 'steps': 501}
{'episode': 98, 'reward': 1183.2000000000003, 'avg_reward': np.float64(215.36767676767678), 'epsilon': np.float64(0.6157061352522207), 'max_position': 197, 'steps': 338}
{'episode': 99, 'reward': 186.99999999999977, 'avg_reward': np.float64(215.084), 'epsilon': np.float64(0.6126791364780315), 'max_position': 72, 'steps': 501}
{'episode': 100, 'reward': 69.30000000000027, 'avg_reward': np.float64(215.21599999999998), 'epsilon': np.float64(0.6096672650420771), 'max_position': 92, 'steps': 501}
{'episode': 101, 'reward': 249.3, 'avg_reward': np.float64(217.47799999999998), 'epsilon': np.float64(0.6066704453459254), 'max_position': 88, 'steps': 501}
{'episode': 102, 'reward': 238.39999999999966, 'avg_reward': np.float64(219.153), 'epsilon': np.float64(0.6036886021689448), 'max_position': 70, 'steps': 501}
{'episode': 103, 'reward': 239.29999999999964, 'avg_reward': np.float64(221.34599999999995), 'epsilon': np.float64(0.600721660666417), 'max_position': 70, 'steps': 501}
{'episode': 104, 'reward': 242.89999999999972, 'avg_reward': np.float64(222.921), 'epsilon': np.float64(0.5977695463676578), 'max_position': 70, 'steps': 501}
{'episode': 105, 'reward': 238.60000000000008, 'avg_reward': np.float64(224.32199999999997), 'epsilon': np.float64(0.5948321851741479), 'max_position': 88, 'steps': 501}
{'episode': 106, 'reward': 239.5999999999997, 'avg_reward': np.float64(226.36499999999995), 'epsilon': np.float64(0.5919095033576737), 'max_position': 70, 'steps': 501}
{'episode': 107, 'reward': 233.0999999999997, 'avg_reward': np.float64(227.79699999999994), 'epsilon': np.float64(0.5890014275584756), 'max_position': 70, 'steps': 501}
{'episode': 108, 'reward': 183.29999999999973, 'avg_reward': np.float64(229.05199999999994), 'epsilon': np.float64(0.5861078847834078), 'max_position': 72, 'steps': 501}
{'episode': 109, 'reward': 236.70000000000005, 'avg_reward': np.float64(230.7309999999999), 'epsilon': np.float64(0.5832288024041051), 'max_position': 88, 'steps': 501}
{'episode': 110, 'reward': 1176.1000000000004, 'avg_reward': np.float64(241.101), 'epsilon': np.float64(0.5814831180786378), 'max_position': 198, 'steps': 305}
{'episode': 111, 'reward': 168.69999999999987, 'avg_reward': np.float64(242.47099999999995), 'epsilon': np.float64(0.57862714783628), 'max_position': 72, 'steps': 501}
{'episode': 112, 'reward': 39.900000000000155, 'avg_reward': np.float64(241.463), 'epsilon': np.float64(0.5757854502220492), 'max_position': 74, 'steps': 501}
{'episode': 113, 'reward': 1158.6000000000001, 'avg_reward': np.float64(252.78699999999992), 'epsilon': np.float64(0.5742768179902265), 'max_position': 197, 'steps': 267}
{'episode': 114, 'reward': 237.20000000000013, 'avg_reward': np.float64(253.035), 'epsilon': np.float64(0.5714568610227301), 'max_position': 88, 'steps': 501}
{'episode': 115, 'reward': 241.39999999999958, 'avg_reward': np.float64(254.27799999999996), 'epsilon': np.float64(0.5686509967080681), 'max_position': 70, 'steps': 501}
{'episode': 116, 'reward': 250.2000000000001, 'avg_reward': np.float64(256.0469999999999), 'epsilon': np.float64(0.5658591546186187), 'max_position': 88, 'steps': 501}
{'episode': 117, 'reward': 1176.6000000000004, 'avg_reward': np.float64(267.006), 'epsilon': np.float64(0.563944744790992), 'max_position': 197, 'steps': 345}
{'episode': 118, 'reward': 236.4, 'avg_reward': np.float64(267.69899999999996), 'epsilon': np.float64(0.5611764220584632), 'max_position': 88, 'steps': 501}
{'episode': 119, 'reward': 1152.0000000000005, 'avg_reward': np.float64(278.56800000000004), 'epsilon': np.float64(0.5597617173280166), 'max_position': 197, 'steps': 257}
{'episode': 120, 'reward': 237.9999999999996, 'avg_reward': np.float64(279.62799999999993), 'epsilon': np.float64(0.557014299153434), 'max_position': 71, 'steps': 501}
{'episode': 121, 'reward': 240.79999999999967, 'avg_reward': np.float64(281.2459999999999), 'epsilon': np.float64(0.5542806111211808), 'max_position': 70, 'steps': 501}
{'episode': 122, 'reward': 231.49999999999966, 'avg_reward': np.float64(282.59399999999994), 'epsilon': np.float64(0.55156058461527), 'max_position': 70, 'steps': 501}
{'episode': 123, 'reward': 239.80000000000013, 'avg_reward': np.float64(283.01699999999994), 'epsilon': np.float64(0.5488541513626217), 'max_position': 88, 'steps': 501}
{'episode': 124, 'reward': 250.79999999999998, 'avg_reward': np.float64(283.6769999999999), 'epsilon': np.float64(0.5461612434313488), 'max_position': 88, 'steps': 501}
{'episode': 125, 'reward': 252.5999999999998, 'avg_reward': np.float64(284.9699999999999), 'epsilon': np.float64(0.5434817932290511), 'max_position': 154, 'steps': 501}
{'episode': 126, 'reward': 187.39999999999998, 'avg_reward': np.float64(285.5949999999999), 'epsilon': np.float64(0.5408157335011202), 'max_position': 156, 'steps': 501}
{'episode': 127, 'reward': 241.69999999999962, 'avg_reward': np.float64(286.49799999999993), 'epsilon': np.float64(0.5381629973290503), 'max_position': 70, 'steps': 501}
{'episode': 128, 'reward': 1139.9000000000003, 'avg_reward': np.float64(296.8599999999999), 'epsilon': np.float64(0.5369180023272992), 'max_position': 197, 'steps': 236}
{'episode': 129, 'reward': 1161.4000000000003, 'avg_reward': np.float64(306.702), 'epsilon': np.float64(0.5354341867240614), 'max_position': 198, 'steps': 282}
{'episode': 130, 'reward': 250.8, 'avg_reward': np.float64(307.5969999999999), 'epsilon': np.float64(0.5328083446753118), 'max_position': 88, 'steps': 501}
{'episode': 131, 'reward': 1143.7000000000003, 'avg_reward': np.float64(317.291), 'epsilon': np.float64(0.5315603247094649), 'max_position': 197, 'steps': 239}
{'episode': 132, 'reward': 240.89999999999964, 'avg_reward': np.float64(318.08799999999997), 'epsilon': np.float64(0.5289538421733355), 'max_position': 70, 'steps': 501}
{'episode': 133, 'reward': 190.30000000000004, 'avg_reward': np.float64(318.24399999999997), 'epsilon': np.float64(0.5263603854577859), 'max_position': 90, 'steps': 501}
{'episode': 134, 'reward': 1174.6000000000004, 'avg_reward': np.float64(327.9759999999999), 'epsilon': np.float64(0.5246849382814519), 'max_position': 197, 'steps': 325}
{'episode': 135, 'reward': 266.7999999999999, 'avg_reward': np.float64(329.05800000000005), 'epsilon': np.float64(0.5221128152888015), 'max_position': 154, 'steps': 501}
{'episode': 136, 'reward': 240.29999999999967, 'avg_reward': np.float64(329.8309999999999), 'epsilon': np.float64(0.5195535464059128), 'max_position': 70, 'steps': 501}
{'episode': 137, 'reward': 1154.2000000000003, 'avg_reward': np.float64(339.38499999999993), 'epsilon': np.float64(0.5180678202662292), 'max_position': 197, 'steps': 292}
{'episode': 138, 'reward': 252.90000000000006, 'avg_reward': np.float64(339.96699999999987), 'epsilon': np.float64(0.5155287661281851), 'max_position': 88, 'steps': 501}
{'episode': 139, 'reward': 241.39999999999998, 'avg_reward': np.float64(340.782), 'epsilon': np.float64(0.5130024008392645), 'max_position': 88, 'steps': 501}
{'episode': 140, 'reward': 1153.2000000000003, 'avg_reward': np.float64(351.56699999999995), 'epsilon': np.float64(0.5117414479710183), 'max_position': 197, 'steps': 251}
{'episode': 141, 'reward': 1142.2000000000003, 'avg_reward': np.float64(361.23999999999984), 'epsilon': np.float64(0.5106188049571532), 'max_position': 198, 'steps': 224}
{'episode': 142, 'reward': 1164.2000000000003, 'avg_reward': np.float64(370.9539999999999), 'epsilon': np.float64(0.509159130208958), 'max_position': 197, 'steps': 292}
{'episode': 143, 'reward': 246.29999999999967, 'avg_reward': np.float64(371.17399999999986), 'epsilon': np.float64(0.5066645969900752), 'max_position': 70, 'steps': 501}
{'episode': 144, 'reward': 192.29999999999984, 'avg_reward': np.float64(371.20899999999995), 'epsilon': np.float64(0.5041825301283185), 'max_position': 72, 'steps': 501}
{'episode': 145, 'reward': 257.1000000000001, 'avg_reward': np.float64(371.55199999999996), 'epsilon': np.float64(0.5017128673234317), 'max_position': 154, 'steps': 501}
{'episode': 146, 'reward': 1185.3000000000002, 'avg_reward': np.float64(381.32000000000005), 'epsilon': np.float64(0.49995078296365925), 'max_position': 197, 'steps': 359}
{'episode': 147, 'reward': 242.39999999999966, 'avg_reward': np.float64(381.515), 'epsilon': np.float64(0.49750226819200927), 'max_position': 70, 'steps': 501}
{'episode': 148, 'reward': 173.29999999999978, 'avg_reward': np.float64(380.92400000000004), 'epsilon': np.float64(0.4950659898016357), 'max_position': 72, 'steps': 501}
{'episode': 149, 'reward': 237.09999999999968, 'avg_reward': np.float64(381.245), 'epsilon': np.float64(0.4926418866415793), 'max_position': 70, 'steps': 501}
{'episode': 150, 'reward': 252.00000000000003, 'avg_reward': np.float64(381.67199999999997), 'epsilon': np.float64(0.49022989786648113), 'max_position': 88, 'steps': 501}
{'episode': 151, 'reward': 241.19999999999965, 'avg_reward': np.float64(382.22899999999987), 'epsilon': np.float64(0.48782996293505504), 'max_position': 70, 'steps': 501}
{'episode': 152, 'reward': 241.5999999999998, 'avg_reward': np.float64(382.41999999999985), 'epsilon': np.float64(0.4854420216085684), 'max_position': 70, 'steps': 501}
{'episode': 153, 'reward': 238.49999999999972, 'avg_reward': np.float64(382.5229999999999), 'epsilon': np.float64(0.4830660139493296), 'max_position': 70, 'steps': 501}
{'episode': 154, 'reward': 1158.1000000000004, 'avg_reward': np.float64(392.0889999999999), 'epsilon': np.float64(0.48179045848644114), 'max_position': 198, 'steps': 270}
{'episode': 155, 'reward': 250.4000000000001, 'avg_reward': np.float64(392.42599999999993), 'epsilon': np.float64(0.47943269940758027), 'max_position': 88, 'steps': 501}
{'episode': 156, 'reward': 245.6999999999996, 'avg_reward': np.float64(392.5649999999998), 'epsilon': np.float64(0.47708672316106365), 'max_position': 70, 'steps': 501}
{'episode': 157, 'reward': 1149.0000000000002, 'avg_reward': np.float64(402.01399999999995), 'epsilon': np.float64(0.47592512401150294), 'max_position': 197, 'steps': 249}
{'episode': 158, 'reward': 1145.6000000000004, 'avg_reward': np.float64(411.0759999999999), 'epsilon': np.float64(0.47481289261107035), 'max_position': 197, 'steps': 239}
{'episode': 159, 'reward': 1152.7000000000003, 'avg_reward': np.float64(420.32399999999984), 'epsilon': np.float64(0.4736430387566336), 'max_position': 197, 'steps': 252}
{'episode': 160, 'reward': 246.00000000000006, 'avg_reward': np.float64(420.7409999999998), 'epsilon': np.float64(0.4713259961706389), 'max_position': 88, 'steps': 501}
{'episode': 161, 'reward': 1145.3000000000002, 'avg_reward': np.float64(429.9069999999999), 'epsilon': np.float64(0.47025696042049125), 'max_position': 197, 'steps': 232}
{'episode': 162, 'reward': 57.30000000000016, 'avg_reward': np.float64(428.2010000000001), 'epsilon': np.float64(0.4679568396623867), 'max_position': 91, 'steps': 501}
{'episode': 163, 'reward': 244.39999999999964, 'avg_reward': np.float64(428.501), 'epsilon': np.float64(0.46566821369079675), 'max_position': 70, 'steps': 501}
{'episode': 164, 'reward': 242.2999999999997, 'avg_reward': np.float64(429.149), 'epsilon': np.float64(0.46339102506086033), 'max_position': 71, 'steps': 501}
{'episode': 165, 'reward': 1169.0000000000002, 'avg_reward': np.float64(438.56800000000004), 'epsilon': np.float64(0.4618385578482228), 'max_position': 197, 'steps': 343}
{'episode': 166, 'reward': 250.50000000000003, 'avg_reward': np.float64(438.67400000000004), 'epsilon': np.float64(0.4595805078118491), 'max_position': 88, 'steps': 501}
{'episode': 167, 'reward': 249.1999999999999, 'avg_reward': np.float64(438.82199999999995), 'epsilon': np.float64(0.4573337423147832), 'max_position': 88, 'steps': 501}
{'episode': 168, 'reward': 244.89999999999972, 'avg_reward': np.float64(438.776), 'epsilon': np.float64(0.4550982049628683), 'max_position': 70, 'steps': 501}
{'episode': 169, 'reward': 245.2999999999998, 'avg_reward': np.float64(438.80799999999994), 'epsilon': np.float64(0.45287383964377603), 'max_position': 154, 'steps': 501}
